# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 1.638468 seconds
# 6103.260707 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 24845.88867	    17.45433
    50	  6198.56627	     2.90548
   100	  2806.13363	     1.08896
   150	  1640.53299	     0.55531
   200	  1067.95495	     0.33128
   250	   749.59583	     0.21822
   300	   554.13074	     0.15372
   350	   423.12319	     0.11376
   400	   328.67181	     0.08746
   450	   194.11405	     0.06342
   500	   147.51361	     0.04983
   550	   118.27276	     0.04059
   600	    95.22540	     0.03342
   650	    75.92148	     0.02748
   700	    62.16534	     0.02298
   750	    51.83507	     0.01944
   800	    43.66404	     0.01660
   850	    37.08025	     0.01428
   900	    31.71116	     0.01236
   950	    27.27499	     0.01074
  1000	    23.59236	     0.00939
  1050	    20.49993	     0.00825
  1100	    17.93237	     0.00729
  1150	    15.76855	     0.00647
  1200	    13.90841	     0.00575
  1250	    12.28888	     0.00513
  1300	    10.92926	     0.00459
  1350	     9.74470	     0.00413
  1400	     8.72230	     0.00373
  1450	     7.82923	     0.00337
  1500	     7.03036	     0.00305
  1550	     6.34031	     0.00277
  1600	     5.72505	     0.00252
  1650	     5.17837	     0.00229
  1700	     4.69577	     0.00209
  1750	     4.25416	     0.00191
  1800	     3.87248	     0.00175
  1850	     3.52435	     0.00160
  1900	     3.22190	     0.00147
  1950	     2.93989	     0.00136
  2000	     2.68855	     0.00125
  2050	     2.46386	     0.00115
  2100	     2.25804	     0.00106
  2150	     2.07687	     0.00098
  2200	     1.90637	     0.00091
  2250	     1.75320	     0.00084
  2300	     1.61560	     0.00078
  2350	     1.49025	     0.00072
  2400	     1.37548	     0.00067
  2450	     1.27121	     0.00062
  2500	     1.17430	     0.00058
  2550	     1.08675	     0.00054
  2600	     1.00544	     0.00050
  2650	     0.93225	     0.00047
  2700	     0.86375	     0.00044
  2750	     0.80123	     0.00041
  2800	     0.74506	     0.00038
  2850	     0.69092	     0.00036
  2900	     0.64276	     0.00033
  2950	     0.59821	     0.00031
  3000	     0.55603	     0.00029
  3050	     0.51826	     0.00027
  3100	     0.48278	     0.00026
  3150	     0.44994	     0.00024
  3200	     0.41986	     0.00022
  3250	     0.39162	     0.00021
  3300	     0.36534	     0.00020
  3350	     0.34147	     0.00019
  3400	     0.31890	     0.00017
  3450	     0.29799	     0.00016
  3500	     0.27950	     0.00015
  3550	     0.26119	     0.00015
  3600	     0.24428	     0.00014
  3650	     0.22874	     0.00013
  3700	     0.21428	     0.00012
  3750	     0.20102	     0.00011
  3800	     0.18819	     0.00011
  3850	     0.17631	     0.00010
  3900	     0.16549	     0.00010
  3950	     0.15536	     0.00009
  4000	     0.14595	     0.00009
  4050	     0.13703	     0.00008
  4100	     0.12886	     0.00008
  4150	     0.12083	     0.00007
  4200	     0.11352	     0.00007
  4250	     0.10671	     0.00006
  4300	     0.10028	     0.00006
  4350	     0.09446	     0.00006
  4400	     0.08877	     0.00005
  4450	     0.08354	     0.00005
  4500	     0.07865	     0.00005
  4550	     0.07409	     0.00005
  4600	     0.06971	     0.00004
  4650	     0.06566	     0.00004
  4700	     0.06192	     0.00004
  4750	     0.05826	     0.00004
  4800	     0.05496	     0.00003
  4850	     0.05181	     0.00003
  4900	     0.04888	     0.00003
  4950	     0.04613	     0.00003
# extra	     0.01840
