# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 3.854329 seconds
# 2594.485052 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 24858.96387	    17.45779
    50	  6203.07254	     2.90593
   100	  2806.27303	     1.08909
   150	  1642.28479	     0.55526
   200	  1069.35467	     0.33127
   250	   748.94132	     0.21820
   300	   554.41531	     0.15372
   350	   423.25899	     0.11376
   400	   328.52622	     0.08746
   450	   194.24369	     0.06341
   500	   147.53510	     0.04983
   550	   118.22065	     0.04058
   600	    95.32885	     0.03342
   650	    76.04039	     0.02748
   700	    62.22500	     0.02298
   750	    51.86814	     0.01944
   800	    43.67059	     0.01660
   850	    37.08662	     0.01428
   900	    31.73290	     0.01236
   950	    27.26441	     0.01074
  1000	    23.59533	     0.00939
  1050	    20.50260	     0.00825
  1100	    17.94146	     0.00729
  1150	    15.75844	     0.00646
  1200	    13.90745	     0.00575
  1250	    12.29178	     0.00513
  1300	    10.92987	     0.00460
  1350	     9.74576	     0.00413
  1400	     8.72717	     0.00372
  1450	     7.82340	     0.00337
  1500	     7.03426	     0.00305
  1550	     6.33898	     0.00277
  1600	     5.72478	     0.00252
  1650	     5.17715	     0.00229
  1700	     4.69193	     0.00209
  1750	     4.25924	     0.00191
  1800	     3.87228	     0.00175
  1850	     3.52385	     0.00160
  1900	     3.21600	     0.00147
  1950	     2.93995	     0.00136
  2000	     2.69166	     0.00125
  2050	     2.46669	     0.00115
  2100	     2.26183	     0.00106
  2150	     2.07642	     0.00098
  2200	     1.90624	     0.00091
  2250	     1.75547	     0.00084
  2300	     1.61761	     0.00078
  2350	     1.49046	     0.00072
  2400	     1.37618	     0.00067
  2450	     1.27099	     0.00062
  2500	     1.17544	     0.00058
  2550	     1.08645	     0.00054
  2600	     1.00606	     0.00050
  2650	     0.93273	     0.00047
  2700	     0.86401	     0.00044
  2750	     0.80173	     0.00041
  2800	     0.74362	     0.00038
  2850	     0.69121	     0.00036
  2900	     0.64207	     0.00033
  2950	     0.59704	     0.00031
  3000	     0.55590	     0.00029
  3050	     0.51788	     0.00027
  3100	     0.48307	     0.00026
  3150	     0.45037	     0.00024
  3200	     0.42014	     0.00022
  3250	     0.39168	     0.00021
  3300	     0.36609	     0.00020
  3350	     0.34188	     0.00019
  3400	     0.31973	     0.00017
  3450	     0.29854	     0.00016
  3500	     0.27930	     0.00015
  3550	     0.26101	     0.00015
  3600	     0.24478	     0.00014
  3650	     0.22879	     0.00013
  3700	     0.21461	     0.00012
  3750	     0.20085	     0.00011
  3800	     0.18827	     0.00011
  3850	     0.17658	     0.00010
  3900	     0.16591	     0.00010
  3950	     0.15550	     0.00009
  4000	     0.14580	     0.00009
  4050	     0.13682	     0.00008
  4100	     0.12872	     0.00008
  4150	     0.12072	     0.00007
  4200	     0.11346	     0.00007
  4250	     0.10666	     0.00006
  4300	     0.10027	     0.00006
  4350	     0.09444	     0.00006
  4400	     0.08880	     0.00005
  4450	     0.08364	     0.00005
  4500	     0.07876	     0.00005
  4550	     0.07410	     0.00005
  4600	     0.06975	     0.00004
  4650	     0.06569	     0.00004
  4700	     0.06197	     0.00004
  4750	     0.05826	     0.00004
  4800	     0.05499	     0.00003
  4850	     0.05192	     0.00003
  4900	     0.04887	     0.00003
  4950	     0.04612	     0.00003
# extra	     0.01815
