# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 1.760339 seconds
# 5680.724888 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 24940.71094	    17.48371
    50	  6206.07338	     2.90501
   100	  2805.26953	     1.08820
   150	  1642.15841	     0.55494
   200	  1067.85073	     0.33105
   250	   749.08259	     0.21802
   300	   553.91781	     0.15360
   350	   423.05835	     0.11369
   400	   328.58487	     0.08740
   450	   194.23739	     0.06336
   500	   147.44641	     0.04980
   550	   118.17499	     0.04056
   600	    95.17435	     0.03341
   650	    75.91924	     0.02747
   700	    62.20295	     0.02297
   750	    51.81814	     0.01944
   800	    43.65682	     0.01660
   850	    37.10042	     0.01428
   900	    31.70477	     0.01235
   950	    27.25224	     0.01074
  1000	    23.56894	     0.00939
  1050	    20.50081	     0.00825
  1100	    17.92958	     0.00729
  1150	    15.76454	     0.00647
  1200	    13.89764	     0.00575
  1250	    12.30026	     0.00513
  1300	    10.92736	     0.00460
  1350	     9.74749	     0.00413
  1400	     8.72257	     0.00372
  1450	     7.82011	     0.00336
  1500	     7.03149	     0.00305
  1550	     6.34065	     0.00277
  1600	     5.72487	     0.00252
  1650	     5.17861	     0.00229
  1700	     4.69233	     0.00209
  1750	     4.26116	     0.00191
  1800	     3.87425	     0.00175
  1850	     3.52693	     0.00160
  1900	     3.21959	     0.00147
  1950	     2.94087	     0.00136
  2000	     2.69144	     0.00125
  2050	     2.46603	     0.00115
  2100	     2.25984	     0.00106
  2150	     2.07453	     0.00098
  2200	     1.90577	     0.00091
  2250	     1.75208	     0.00084
  2300	     1.61458	     0.00078
  2350	     1.49066	     0.00072
  2400	     1.37483	     0.00067
  2450	     1.27042	     0.00062
  2500	     1.17473	     0.00058
  2550	     1.08533	     0.00054
  2600	     1.00583	     0.00050
  2650	     0.93178	     0.00047
  2700	     0.86396	     0.00044
  2750	     0.80110	     0.00041
  2800	     0.74358	     0.00038
  2850	     0.69086	     0.00036
  2900	     0.64204	     0.00033
  2950	     0.59851	     0.00031
  3000	     0.55623	     0.00029
  3050	     0.51885	     0.00027
  3100	     0.48265	     0.00026
  3150	     0.44970	     0.00024
  3200	     0.41948	     0.00022
  3250	     0.39139	     0.00021
  3300	     0.36543	     0.00020
  3350	     0.34135	     0.00019
  3400	     0.31926	     0.00017
  3450	     0.29805	     0.00016
  3500	     0.27885	     0.00015
  3550	     0.26108	     0.00015
  3600	     0.24442	     0.00014
  3650	     0.22849	     0.00013
  3700	     0.21407	     0.00012
  3750	     0.20064	     0.00011
  3800	     0.18827	     0.00011
  3850	     0.17660	     0.00010
  3900	     0.16533	     0.00010
  3950	     0.15528	     0.00009
  4000	     0.14588	     0.00009
  4050	     0.13673	     0.00008
  4100	     0.12858	     0.00008
  4150	     0.12063	     0.00007
  4200	     0.11336	     0.00007
  4250	     0.10673	     0.00006
  4300	     0.10044	     0.00006
  4350	     0.09441	     0.00006
  4400	     0.08877	     0.00005
  4450	     0.08351	     0.00005
  4500	     0.07858	     0.00005
  4550	     0.07411	     0.00005
  4600	     0.06973	     0.00004
  4650	     0.06577	     0.00004
  4700	     0.06185	     0.00004
  4750	     0.05829	     0.00004
  4800	     0.05497	     0.00004
  4850	     0.05182	     0.00003
  4900	     0.04894	     0.00003
  4950	     0.04609	     0.00003
# extra	     0.01850
