# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 1.913922 seconds
# 5224.873293 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 24884.85352	    17.46856
    50	  6214.22294	     2.90413
   100	  2805.49959	     1.08756
   150	  1642.60183	     0.55476
   200	  1068.70072	     0.33101
   250	   749.06289	     0.21819
   300	   553.46065	     0.15374
   350	   423.14104	     0.11378
   400	   328.65707	     0.08746
   450	   194.23041	     0.06328
   500	   147.56148	     0.04975
   550	   118.33069	     0.04051
   600	    95.26512	     0.03339
   650	    75.93190	     0.02746
   700	    62.19442	     0.02295
   750	    51.80874	     0.01943
   800	    43.65013	     0.01659
   850	    37.09522	     0.01427
   900	    31.70340	     0.01235
   950	    27.30614	     0.01074
  1000	    23.59375	     0.00939
  1050	    20.46690	     0.00825
  1100	    17.94543	     0.00729
  1150	    15.75786	     0.00647
  1200	    13.89512	     0.00575
  1250	    12.29710	     0.00513
  1300	    10.91347	     0.00459
  1350	     9.74484	     0.00413
  1400	     8.72509	     0.00373
  1450	     7.82440	     0.00337
  1500	     7.03785	     0.00305
  1550	     6.34017	     0.00277
  1600	     5.72712	     0.00252
  1650	     5.18128	     0.00229
  1700	     4.69325	     0.00209
  1750	     4.25890	     0.00191
  1800	     3.87086	     0.00175
  1850	     3.52946	     0.00160
  1900	     3.21833	     0.00147
  1950	     2.93764	     0.00135
  2000	     2.68812	     0.00125
  2050	     2.46193	     0.00115
  2100	     2.25854	     0.00106
  2150	     2.07375	     0.00098
  2200	     1.90554	     0.00091
  2250	     1.75516	     0.00084
  2300	     1.61733	     0.00078
  2350	     1.49100	     0.00072
  2400	     1.37547	     0.00067
  2450	     1.27098	     0.00062
  2500	     1.17409	     0.00058
  2550	     1.08573	     0.00054
  2600	     1.00516	     0.00050
  2650	     0.93119	     0.00047
  2700	     0.86344	     0.00044
  2750	     0.80122	     0.00041
  2800	     0.74398	     0.00038
  2850	     0.69156	     0.00036
  2900	     0.64367	     0.00033
  2950	     0.59825	     0.00031
  3000	     0.55616	     0.00029
  3050	     0.51836	     0.00027
  3100	     0.48312	     0.00026
  3150	     0.45034	     0.00024
  3200	     0.42014	     0.00022
  3250	     0.39195	     0.00021
  3300	     0.36565	     0.00020
  3350	     0.34166	     0.00019
  3400	     0.31952	     0.00017
  3450	     0.29821	     0.00016
  3500	     0.27914	     0.00015
  3550	     0.26101	     0.00015
  3600	     0.24424	     0.00014
  3650	     0.22878	     0.00013
  3700	     0.21455	     0.00012
  3750	     0.20087	     0.00011
  3800	     0.18816	     0.00011
  3850	     0.17641	     0.00010
  3900	     0.16571	     0.00010
  3950	     0.15544	     0.00009
  4000	     0.14583	     0.00009
  4050	     0.13680	     0.00008
  4100	     0.12837	     0.00008
  4150	     0.12077	     0.00007
  4200	     0.11351	     0.00007
  4250	     0.10683	     0.00006
  4300	     0.10033	     0.00006
  4350	     0.09430	     0.00006
  4400	     0.08882	     0.00005
  4450	     0.08353	     0.00005
  4500	     0.07861	     0.00005
  4550	     0.07392	     0.00005
  4600	     0.06967	     0.00004
  4650	     0.06561	     0.00004
  4700	     0.06192	     0.00004
  4750	     0.05838	     0.00004
  4800	     0.05497	     0.00003
  4850	     0.05185	     0.00003
  4900	     0.04895	     0.00003
  4950	     0.04607	     0.00003
# extra	     0.01809
