# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 1.926849 seconds
# 5189.819307 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 24950.79199	    17.49046
    50	  6201.92955	     2.90272
   100	  2809.24928	     1.08789
   150	  1642.38487	     0.55474
   200	  1068.09702	     0.33101
   250	   748.72787	     0.21817
   300	   553.58521	     0.15372
   350	   423.23427	     0.11377
   400	   328.42672	     0.08748
   450	   194.24516	     0.06329
   500	   147.61518	     0.04975
   550	   118.13264	     0.04052
   600	    95.21581	     0.03337
   650	    75.94077	     0.02746
   700	    62.19285	     0.02295
   750	    51.77629	     0.01942
   800	    43.63049	     0.01659
   850	    37.09396	     0.01427
   900	    31.70195	     0.01235
   950	    27.28482	     0.01074
  1000	    23.56098	     0.00939
  1050	    20.50567	     0.00825
  1100	    17.92053	     0.00729
  1150	    15.77211	     0.00647
  1200	    13.91212	     0.00575
  1250	    12.28801	     0.00513
  1300	    10.92742	     0.00460
  1350	     9.74322	     0.00413
  1400	     8.72350	     0.00372
  1450	     7.82688	     0.00337
  1500	     7.03636	     0.00305
  1550	     6.33916	     0.00277
  1600	     5.71749	     0.00251
  1650	     5.17732	     0.00229
  1700	     4.68858	     0.00209
  1750	     4.25819	     0.00191
  1800	     3.87284	     0.00175
  1850	     3.52860	     0.00160
  1900	     3.21837	     0.00147
  1950	     2.94200	     0.00136
  2000	     2.68792	     0.00125
  2050	     2.46616	     0.00115
  2100	     2.26034	     0.00106
  2150	     2.07504	     0.00098
  2200	     1.90566	     0.00091
  2250	     1.75456	     0.00084
  2300	     1.61750	     0.00078
  2350	     1.48841	     0.00072
  2400	     1.37259	     0.00067
  2450	     1.26974	     0.00062
  2500	     1.17425	     0.00058
  2550	     1.08462	     0.00054
  2600	     1.00580	     0.00050
  2650	     0.93178	     0.00047
  2700	     0.86388	     0.00044
  2750	     0.80152	     0.00041
  2800	     0.74407	     0.00038
  2850	     0.69105	     0.00036
  2900	     0.64240	     0.00033
  2950	     0.59777	     0.00031
  3000	     0.55649	     0.00029
  3050	     0.51851	     0.00027
  3100	     0.48298	     0.00026
  3150	     0.44968	     0.00024
  3200	     0.41949	     0.00022
  3250	     0.39162	     0.00021
  3300	     0.36544	     0.00020
  3350	     0.34126	     0.00019
  3400	     0.31895	     0.00017
  3450	     0.29828	     0.00016
  3500	     0.27895	     0.00015
  3550	     0.26125	     0.00015
  3600	     0.24434	     0.00014
  3650	     0.22885	     0.00013
  3700	     0.21405	     0.00012
  3750	     0.20078	     0.00011
  3800	     0.18820	     0.00011
  3850	     0.17638	     0.00010
  3900	     0.16544	     0.00010
  3950	     0.15535	     0.00009
  4000	     0.14582	     0.00009
  4050	     0.13705	     0.00008
  4100	     0.12873	     0.00008
  4150	     0.12080	     0.00007
  4200	     0.11342	     0.00007
  4250	     0.10665	     0.00006
  4300	     0.10023	     0.00006
  4350	     0.09429	     0.00006
  4400	     0.08882	     0.00005
  4450	     0.08359	     0.00005
  4500	     0.07870	     0.00005
  4550	     0.07403	     0.00005
  4600	     0.06972	     0.00004
  4650	     0.06571	     0.00004
  4700	     0.06183	     0.00004
  4750	     0.05841	     0.00004
  4800	     0.05498	     0.00003
  4850	     0.05181	     0.00003
  4900	     0.04888	     0.00003
  4950	     0.04609	     0.00003
# extra	     0.01824
