# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 5.100825 seconds
# 1960.467295 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 24897.48047	    17.45618
    50	  6200.75181	     2.90561
   100	  2805.39998	     1.09021
   150	  1640.20471	     0.55639
   200	  1065.08117	     0.33215
   250	   747.14153	     0.21900
   300	   552.57823	     0.15440
   350	   422.11700	     0.11430
   400	   327.73229	     0.08786
   450	   194.26831	     0.06338
   500	   147.41556	     0.04979
   550	   118.35622	     0.04055
   600	    95.28767	     0.03337
   650	    75.95231	     0.02743
   700	    62.27067	     0.02292
   750	    51.88054	     0.01939
   800	    43.66786	     0.01656
   850	    37.13155	     0.01424
   900	    31.75040	     0.01233
   950	    27.30921	     0.01072
  1000	    23.58805	     0.00938
  1050	    20.52468	     0.00824
  1100	    17.93613	     0.00728
  1150	    15.76800	     0.00646
  1200	    13.89851	     0.00575
  1250	    12.30487	     0.00513
  1300	    10.93491	     0.00460
  1350	     9.75570	     0.00413
  1400	     8.73163	     0.00373
  1450	     7.82766	     0.00337
  1500	     7.04979	     0.00305
  1550	     6.35092	     0.00277
  1600	     5.73313	     0.00252
  1650	     5.17858	     0.00229
  1700	     4.70037	     0.00209
  1750	     4.26667	     0.00191
  1800	     3.87471	     0.00175
  1850	     3.52978	     0.00160
  1900	     3.22073	     0.00147
  1950	     2.94373	     0.00135
  2000	     2.69157	     0.00125
  2050	     2.46768	     0.00115
  2100	     2.26408	     0.00106
  2150	     2.07937	     0.00098
  2200	     1.90823	     0.00091
  2250	     1.75518	     0.00084
  2300	     1.61692	     0.00078
  2350	     1.49210	     0.00072
  2400	     1.37638	     0.00067
  2450	     1.27068	     0.00062
  2500	     1.17466	     0.00058
  2550	     1.08674	     0.00054
  2600	     1.00533	     0.00050
  2650	     0.93089	     0.00047
  2700	     0.86373	     0.00044
  2750	     0.80180	     0.00041
  2800	     0.74356	     0.00038
  2850	     0.69138	     0.00036
  2900	     0.64214	     0.00033
  2950	     0.59743	     0.00031
  3000	     0.55624	     0.00029
  3050	     0.51819	     0.00027
  3100	     0.48256	     0.00026
  3150	     0.44986	     0.00024
  3200	     0.41993	     0.00022
  3250	     0.39156	     0.00021
  3300	     0.36528	     0.00020
  3350	     0.34118	     0.00019
  3400	     0.31880	     0.00017
  3450	     0.29855	     0.00016
  3500	     0.27863	     0.00015
  3550	     0.26113	     0.00015
  3600	     0.24413	     0.00014
  3650	     0.22848	     0.00013
  3700	     0.21398	     0.00012
  3750	     0.20079	     0.00011
  3800	     0.18833	     0.00011
  3850	     0.17647	     0.00010
  3900	     0.16557	     0.00010
  3950	     0.15547	     0.00009
  4000	     0.14569	     0.00009
  4050	     0.13692	     0.00008
  4100	     0.12846	     0.00008
  4150	     0.12082	     0.00007
  4200	     0.11342	     0.00007
  4250	     0.10676	     0.00006
  4300	     0.10028	     0.00006
  4350	     0.09411	     0.00006
  4400	     0.08867	     0.00005
  4450	     0.08343	     0.00005
  4500	     0.07857	     0.00005
  4550	     0.07400	     0.00005
  4600	     0.06974	     0.00004
  4650	     0.06572	     0.00004
  4700	     0.06186	     0.00004
  4750	     0.05834	     0.00004
  4800	     0.05493	     0.00003
  4850	     0.05183	     0.00003
  4900	     0.04883	     0.00003
  4950	     0.04608	     0.00003
# extra	     0.01650
