# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 1.873218 seconds
# 5338.406223 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 24804.72070	    17.44357
    50	  6208.63184	     2.90690
   100	  2807.33049	     1.09010
   150	  1638.51816	     0.55601
   200	  1067.41301	     0.33183
   250	   748.64964	     0.21870
   300	   553.97309	     0.15408
   350	   423.40489	     0.11406
   400	   328.50313	     0.08771
   450	   194.18687	     0.06348
   500	   147.59436	     0.04987
   550	   118.22134	     0.04061
   600	    95.23165	     0.03344
   650	    75.89925	     0.02750
   700	    62.14934	     0.02297
   750	    51.80654	     0.01944
   800	    43.63598	     0.01660
   850	    37.05306	     0.01428
   900	    31.69996	     0.01235
   950	    27.24809	     0.01074
  1000	    23.57565	     0.00939
  1050	    20.49828	     0.00825
  1100	    17.93546	     0.00729
  1150	    15.75761	     0.00646
  1200	    13.88821	     0.00575
  1250	    12.28649	     0.00513
  1300	    10.92543	     0.00460
  1350	     9.74395	     0.00413
  1400	     8.71968	     0.00373
  1450	     7.83151	     0.00337
  1500	     7.04595	     0.00305
  1550	     6.33997	     0.00277
  1600	     5.72272	     0.00252
  1650	     5.17864	     0.00229
  1700	     4.68639	     0.00209
  1750	     4.25747	     0.00191
  1800	     3.87256	     0.00175
  1850	     3.52512	     0.00160
  1900	     3.21684	     0.00147
  1950	     2.93651	     0.00135
  2000	     2.68806	     0.00125
  2050	     2.46358	     0.00115
  2100	     2.26080	     0.00106
  2150	     2.07376	     0.00098
  2200	     1.90771	     0.00091
  2250	     1.75374	     0.00084
  2300	     1.61689	     0.00078
  2350	     1.49049	     0.00072
  2400	     1.37605	     0.00067
  2450	     1.27060	     0.00062
  2500	     1.17283	     0.00058
  2550	     1.08692	     0.00054
  2600	     1.00671	     0.00050
  2650	     0.93177	     0.00047
  2700	     0.86409	     0.00044
  2750	     0.80179	     0.00041
  2800	     0.74374	     0.00038
  2850	     0.69243	     0.00036
  2900	     0.64234	     0.00033
  2950	     0.59800	     0.00031
  3000	     0.55624	     0.00029
  3050	     0.51871	     0.00027
  3100	     0.48290	     0.00026
  3150	     0.45038	     0.00024
  3200	     0.41966	     0.00022
  3250	     0.39146	     0.00021
  3300	     0.36561	     0.00020
  3350	     0.34160	     0.00019
  3400	     0.31924	     0.00017
  3450	     0.29836	     0.00016
  3500	     0.27888	     0.00015
  3550	     0.26098	     0.00015
  3600	     0.24445	     0.00014
  3650	     0.22890	     0.00013
  3700	     0.21445	     0.00012
  3750	     0.20088	     0.00011
  3800	     0.18812	     0.00011
  3850	     0.17673	     0.00010
  3900	     0.16553	     0.00010
  3950	     0.15516	     0.00009
  4000	     0.14571	     0.00009
  4050	     0.13683	     0.00008
  4100	     0.12854	     0.00008
  4150	     0.12085	     0.00007
  4200	     0.11353	     0.00007
  4250	     0.10672	     0.00006
  4300	     0.10037	     0.00006
  4350	     0.09445	     0.00006
  4400	     0.08878	     0.00005
  4450	     0.08367	     0.00005
  4500	     0.07853	     0.00005
  4550	     0.07398	     0.00005
  4600	     0.06965	     0.00004
  4650	     0.06577	     0.00004
  4700	     0.06195	     0.00004
  4750	     0.05831	     0.00004
  4800	     0.05504	     0.00003
  4850	     0.05182	     0.00003
  4900	     0.04895	     0.00003
  4950	     0.04612	     0.00003
# extra	     0.01850
