# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 1.762089 seconds
# 5675.081998 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 25003.28906	    17.50247
    50	  6210.28292	     2.90588
   100	  2804.64350	     1.08819
   150	  1640.44954	     0.55489
   200	  1068.19874	     0.33101
   250	   749.23410	     0.21800
   300	   553.65636	     0.15360
   350	   423.30496	     0.11364
   400	   328.91742	     0.08737
   450	   194.31651	     0.06335
   500	   147.49804	     0.04979
   550	   118.28251	     0.04056
   600	    95.31779	     0.03341
   650	    75.89114	     0.02746
   700	    62.18960	     0.02296
   750	    51.78134	     0.01943
   800	    43.61626	     0.01659
   850	    37.06035	     0.01427
   900	    31.72980	     0.01235
   950	    27.29777	     0.01074
  1000	    23.58852	     0.00939
  1050	    20.49690	     0.00825
  1100	    17.91573	     0.00728
  1150	    15.74925	     0.00646
  1200	    13.88242	     0.00575
  1250	    12.29710	     0.00513
  1300	    10.92635	     0.00460
  1350	     9.74226	     0.00413
  1400	     8.72004	     0.00372
  1450	     7.82513	     0.00337
  1500	     7.03812	     0.00305
  1550	     6.33702	     0.00277
  1600	     5.72333	     0.00252
  1650	     5.17157	     0.00229
  1700	     4.69059	     0.00209
  1750	     4.25732	     0.00191
  1800	     3.86971	     0.00175
  1850	     3.52574	     0.00160
  1900	     3.21245	     0.00147
  1950	     2.93803	     0.00135
  2000	     2.68496	     0.00125
  2050	     2.45865	     0.00115
  2100	     2.25829	     0.00106
  2150	     2.07319	     0.00098
  2200	     1.90545	     0.00091
  2250	     1.75407	     0.00084
  2300	     1.61554	     0.00078
  2350	     1.48970	     0.00072
  2400	     1.37427	     0.00067
  2450	     1.26932	     0.00062
  2500	     1.17260	     0.00058
  2550	     1.08589	     0.00054
  2600	     1.00527	     0.00050
  2650	     0.93135	     0.00047
  2700	     0.86431	     0.00044
  2750	     0.80199	     0.00041
  2800	     0.74395	     0.00038
  2850	     0.69183	     0.00036
  2900	     0.64223	     0.00033
  2950	     0.59734	     0.00031
  3000	     0.55596	     0.00029
  3050	     0.51798	     0.00027
  3100	     0.48269	     0.00026
  3150	     0.44975	     0.00024
  3200	     0.41905	     0.00022
  3250	     0.39172	     0.00021
  3300	     0.36570	     0.00020
  3350	     0.34164	     0.00019
  3400	     0.31869	     0.00017
  3450	     0.29786	     0.00016
  3500	     0.27896	     0.00015
  3550	     0.26084	     0.00015
  3600	     0.24448	     0.00014
  3650	     0.22891	     0.00013
  3700	     0.21439	     0.00012
  3750	     0.20078	     0.00011
  3800	     0.18800	     0.00011
  3850	     0.17660	     0.00010
  3900	     0.16558	     0.00010
  3950	     0.15519	     0.00009
  4000	     0.14589	     0.00009
  4050	     0.13685	     0.00008
  4100	     0.12847	     0.00008
  4150	     0.12066	     0.00007
  4200	     0.11336	     0.00007
  4250	     0.10678	     0.00006
  4300	     0.10034	     0.00006
  4350	     0.09440	     0.00006
  4400	     0.08880	     0.00005
  4450	     0.08357	     0.00005
  4500	     0.07864	     0.00005
  4550	     0.07398	     0.00005
  4600	     0.06974	     0.00004
  4650	     0.06568	     0.00004
  4700	     0.06192	     0.00004
  4750	     0.05836	     0.00004
  4800	     0.05497	     0.00003
  4850	     0.05180	     0.00003
  4900	     0.04889	     0.00003
  4950	     0.04607	     0.00003
# extra	     0.01852
