# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 2.114552 seconds
# 4729.134246 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 24898.36523	    17.45333
    50	  6201.29967	     2.90501
   100	  2802.27601	     1.09000
   150	  1638.10610	     0.55628
   200	  1066.60777	     0.33218
   250	   747.25511	     0.21904
   300	   552.25666	     0.15443
   350	   422.12983	     0.11429
   400	   327.68890	     0.08787
   450	   194.20204	     0.06340
   500	   147.66887	     0.04979
   550	   118.28137	     0.04055
   600	    95.25308	     0.03337
   650	    75.95085	     0.02743
   700	    62.21082	     0.02291
   750	    51.85512	     0.01940
   800	    43.63919	     0.01655
   850	    37.08915	     0.01424
   900	    31.76940	     0.01233
   950	    27.29106	     0.01072
  1000	    23.61611	     0.00938
  1050	    20.52424	     0.00824
  1100	    17.95330	     0.00728
  1150	    15.77392	     0.00646
  1200	    13.89523	     0.00575
  1250	    12.30581	     0.00513
  1300	    10.93269	     0.00460
  1350	     9.74647	     0.00413
  1400	     8.72326	     0.00373
  1450	     7.83255	     0.00337
  1500	     7.03975	     0.00305
  1550	     6.34166	     0.00277
  1600	     5.72598	     0.00252
  1650	     5.17825	     0.00229
  1700	     4.69945	     0.00209
  1750	     4.26520	     0.00191
  1800	     3.87711	     0.00175
  1850	     3.53316	     0.00160
  1900	     3.22108	     0.00147
  1950	     2.94435	     0.00136
  2000	     2.69404	     0.00125
  2050	     2.46479	     0.00115
  2100	     2.26177	     0.00106
  2150	     2.07495	     0.00098
  2200	     1.90918	     0.00091
  2250	     1.75520	     0.00084
  2300	     1.61741	     0.00078
  2350	     1.49061	     0.00072
  2400	     1.37783	     0.00067
  2450	     1.27050	     0.00062
  2500	     1.17405	     0.00058
  2550	     1.08517	     0.00054
  2600	     1.00513	     0.00050
  2650	     0.93083	     0.00047
  2700	     0.86412	     0.00044
  2750	     0.80164	     0.00041
  2800	     0.74440	     0.00038
  2850	     0.69121	     0.00036
  2900	     0.64254	     0.00033
  2950	     0.59732	     0.00031
  3000	     0.55658	     0.00029
  3050	     0.51854	     0.00027
  3100	     0.48342	     0.00026
  3150	     0.45024	     0.00024
  3200	     0.41985	     0.00022
  3250	     0.39191	     0.00021
  3300	     0.36582	     0.00020
  3350	     0.34116	     0.00019
  3400	     0.31927	     0.00017
  3450	     0.29858	     0.00016
  3500	     0.27905	     0.00015
  3550	     0.26129	     0.00015
  3600	     0.24427	     0.00014
  3650	     0.22893	     0.00013
  3700	     0.21427	     0.00012
  3750	     0.20090	     0.00011
  3800	     0.18825	     0.00011
  3850	     0.17644	     0.00010
  3900	     0.16557	     0.00010
  3950	     0.15515	     0.00009
  4000	     0.14590	     0.00009
  4050	     0.13699	     0.00008
  4100	     0.12862	     0.00008
  4150	     0.12084	     0.00007
  4200	     0.11344	     0.00007
  4250	     0.10668	     0.00006
  4300	     0.10019	     0.00006
  4350	     0.09431	     0.00006
  4400	     0.08870	     0.00005
  4450	     0.08345	     0.00005
  4500	     0.07855	     0.00005
  4550	     0.07405	     0.00005
  4600	     0.06974	     0.00004
  4650	     0.06573	     0.00004
  4700	     0.06193	     0.00004
  4750	     0.05839	     0.00004
  4800	     0.05502	     0.00003
  4850	     0.05191	     0.00003
  4900	     0.04885	     0.00003
  4950	     0.04614	     0.00003
# extra	     0.01656
