# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 1.921393 seconds
# 5204.557175 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 24884.53418	    17.46799
    50	  6210.43527	     2.90341
   100	  2808.65964	     1.08786
   150	  1642.27972	     0.55475
   200	  1069.14133	     0.33104
   250	   749.67046	     0.21814
   300	   553.62960	     0.15373
   350	   422.65294	     0.11380
   400	   328.34401	     0.08747
   450	   194.14315	     0.06329
   500	   147.68359	     0.04976
   550	   118.23840	     0.04053
   600	    95.17452	     0.03338
   650	    75.93454	     0.02746
   700	    62.16244	     0.02295
   750	    51.82027	     0.01943
   800	    43.64909	     0.01659
   850	    37.05930	     0.01426
   900	    31.71894	     0.01235
   950	    27.25257	     0.01074
  1000	    23.58769	     0.00939
  1050	    20.49629	     0.00825
  1100	    17.93065	     0.00729
  1150	    15.75995	     0.00647
  1200	    13.88923	     0.00575
  1250	    12.30021	     0.00513
  1300	    10.91965	     0.00460
  1350	     9.73878	     0.00413
  1400	     8.73475	     0.00373
  1450	     7.83585	     0.00337
  1500	     7.05005	     0.00305
  1550	     6.34767	     0.00277
  1600	     5.73055	     0.00252
  1650	     5.17870	     0.00229
  1700	     4.69527	     0.00209
  1750	     4.25931	     0.00191
  1800	     3.87221	     0.00175
  1850	     3.52196	     0.00160
  1900	     3.21667	     0.00147
  1950	     2.93957	     0.00136
  2000	     2.68777	     0.00125
  2050	     2.46401	     0.00115
  2100	     2.26342	     0.00106
  2150	     2.07505	     0.00098
  2200	     1.90712	     0.00091
  2250	     1.75462	     0.00084
  2300	     1.61597	     0.00078
  2350	     1.49014	     0.00072
  2400	     1.37495	     0.00067
  2450	     1.26972	     0.00062
  2500	     1.17346	     0.00058
  2550	     1.08480	     0.00054
  2600	     1.00531	     0.00050
  2650	     0.93239	     0.00047
  2700	     0.86390	     0.00044
  2750	     0.80091	     0.00041
  2800	     0.74454	     0.00038
  2850	     0.69125	     0.00036
  2900	     0.64317	     0.00033
  2950	     0.59762	     0.00031
  3000	     0.55644	     0.00029
  3050	     0.51802	     0.00027
  3100	     0.48304	     0.00026
  3150	     0.45071	     0.00024
  3200	     0.41995	     0.00022
  3250	     0.39127	     0.00021
  3300	     0.36539	     0.00020
  3350	     0.34172	     0.00019
  3400	     0.31907	     0.00017
  3450	     0.29829	     0.00016
  3500	     0.27879	     0.00015
  3550	     0.26106	     0.00015
  3600	     0.24427	     0.00014
  3650	     0.22853	     0.00013
  3700	     0.21407	     0.00012
  3750	     0.20075	     0.00011
  3800	     0.18828	     0.00011
  3850	     0.17660	     0.00010
  3900	     0.16559	     0.00010
  3950	     0.15549	     0.00009
  4000	     0.14598	     0.00009
  4050	     0.13698	     0.00008
  4100	     0.12863	     0.00008
  4150	     0.12066	     0.00007
  4200	     0.11336	     0.00007
  4250	     0.10656	     0.00006
  4300	     0.10020	     0.00006
  4350	     0.09444	     0.00006
  4400	     0.08879	     0.00005
  4450	     0.08344	     0.00005
  4500	     0.07859	     0.00005
  4550	     0.07406	     0.00005
  4600	     0.06975	     0.00004
  4650	     0.06565	     0.00004
  4700	     0.06187	     0.00004
  4750	     0.05829	     0.00004
  4800	     0.05495	     0.00003
  4850	     0.05180	     0.00003
  4900	     0.04890	     0.00003
  4950	     0.04610	     0.00003
# extra	     0.01815
