# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 1.746570 seconds
# 5725.507906 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 24870.20508	    17.46244
    50	  6204.01842	     2.90481
   100	  2806.92002	     1.08848
   150	  1641.64342	     0.55497
   200	  1068.47202	     0.33100
   250	   748.90539	     0.21809
   300	   553.64653	     0.15364
   350	   423.25833	     0.11368
   400	   328.67192	     0.08741
   450	   194.21487	     0.06335
   500	   147.55289	     0.04981
   550	   118.31781	     0.04058
   600	    95.16342	     0.03341
   650	    75.87794	     0.02748
   700	    62.15747	     0.02296
   750	    51.79073	     0.01944
   800	    43.68096	     0.01660
   850	    37.09025	     0.01428
   900	    31.69922	     0.01235
   950	    27.27356	     0.01075
  1000	    23.57127	     0.00939
  1050	    20.50583	     0.00825
  1100	    17.92856	     0.00729
  1150	    15.76932	     0.00647
  1200	    13.89371	     0.00575
  1250	    12.30345	     0.00513
  1300	    10.92834	     0.00460
  1350	     9.74692	     0.00413
  1400	     8.73595	     0.00373
  1450	     7.83659	     0.00337
  1500	     7.03543	     0.00305
  1550	     6.33936	     0.00277
  1600	     5.72557	     0.00252
  1650	     5.17258	     0.00229
  1700	     4.68787	     0.00209
  1750	     4.25698	     0.00191
  1800	     3.87055	     0.00175
  1850	     3.52393	     0.00160
  1900	     3.21973	     0.00147
  1950	     2.94187	     0.00136
  2000	     2.69277	     0.00125
  2050	     2.46437	     0.00115
  2100	     2.25943	     0.00106
  2150	     2.07694	     0.00098
  2200	     1.90632	     0.00091
  2250	     1.75475	     0.00084
  2300	     1.61622	     0.00078
  2350	     1.49165	     0.00072
  2400	     1.37581	     0.00067
  2450	     1.26993	     0.00062
  2500	     1.17359	     0.00058
  2550	     1.08683	     0.00054
  2600	     1.00594	     0.00050
  2650	     0.93244	     0.00047
  2700	     0.86401	     0.00044
  2750	     0.80213	     0.00041
  2800	     0.74394	     0.00038
  2850	     0.69126	     0.00036
  2900	     0.64282	     0.00033
  2950	     0.59754	     0.00031
  3000	     0.55692	     0.00029
  3050	     0.51820	     0.00027
  3100	     0.48295	     0.00026
  3150	     0.45030	     0.00024
  3200	     0.42008	     0.00022
  3250	     0.39146	     0.00021
  3300	     0.36607	     0.00020
  3350	     0.34165	     0.00019
  3400	     0.31925	     0.00017
  3450	     0.29859	     0.00016
  3500	     0.27933	     0.00015
  3550	     0.26081	     0.00015
  3600	     0.24440	     0.00014
  3650	     0.22885	     0.00013
  3700	     0.21424	     0.00012
  3750	     0.20080	     0.00011
  3800	     0.18814	     0.00011
  3850	     0.17642	     0.00010
  3900	     0.16546	     0.00010
  3950	     0.15529	     0.00009
  4000	     0.14575	     0.00009
  4050	     0.13687	     0.00008
  4100	     0.12856	     0.00008
  4150	     0.12094	     0.00007
  4200	     0.11360	     0.00007
  4250	     0.10690	     0.00006
  4300	     0.10029	     0.00006
  4350	     0.09424	     0.00006
  4400	     0.08876	     0.00005
  4450	     0.08354	     0.00005
  4500	     0.07867	     0.00005
  4550	     0.07409	     0.00005
  4600	     0.06986	     0.00004
  4650	     0.06560	     0.00004
  4700	     0.06183	     0.00004
  4750	     0.05834	     0.00004
  4800	     0.05496	     0.00003
  4850	     0.05187	     0.00003
  4900	     0.04890	     0.00003
  4950	     0.04613	     0.00003
# extra	     0.01841
