# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 2.029750 seconds
# 4926.715256 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 25333.06055	    17.50588
    50	  6193.10073	     2.93035
   100	  2789.79585	     1.09352
   150	  1628.84180	     0.55599
   200	  1061.59176	     0.33135
   250	   743.74882	     0.21820
   300	   549.63577	     0.15380
   350	   419.59574	     0.11380
   400	   326.06393	     0.08746
   450	   193.76311	     0.06460
   500	   147.09558	     0.05059
   550	   117.87246	     0.04113
   600	    95.01273	     0.03381
   650	    75.74443	     0.02775
   700	    62.02470	     0.02316
   750	    51.65969	     0.01957
   800	    43.49185	     0.01669
   850	    36.93402	     0.01434
   900	    31.58335	     0.01239
   950	    27.17670	     0.01077
  1000	    23.49425	     0.00940
  1050	    20.43108	     0.00825
  1100	    17.86417	     0.00728
  1150	    15.70950	     0.00645
  1200	    13.84343	     0.00573
  1250	    12.24173	     0.00511
  1300	    10.87279	     0.00458
  1350	     9.70964	     0.00411
  1400	     8.69512	     0.00371
  1450	     7.80723	     0.00335
  1500	     7.02308	     0.00304
  1550	     6.32573	     0.00276
  1600	     5.71270	     0.00251
  1650	     5.17223	     0.00228
  1700	     4.68714	     0.00208
  1750	     4.25440	     0.00191
  1800	     3.87157	     0.00174
  1850	     3.52888	     0.00160
  1900	     3.22235	     0.00147
  1950	     2.94192	     0.00135
  2000	     2.68987	     0.00124
  2050	     2.46188	     0.00114
  2100	     2.25828	     0.00106
  2150	     2.07156	     0.00097
  2200	     1.90426	     0.00090
  2250	     1.75015	     0.00083
  2300	     1.61420	     0.00077
  2350	     1.48900	     0.00072
  2400	     1.37271	     0.00067
  2450	     1.26758	     0.00062
  2500	     1.17281	     0.00058
  2550	     1.08389	     0.00054
  2600	     1.00377	     0.00050
  2650	     0.92786	     0.00047
  2700	     0.86070	     0.00044
  2750	     0.79879	     0.00041
  2800	     0.74290	     0.00038
  2850	     0.69001	     0.00036
  2900	     0.64196	     0.00033
  2950	     0.59767	     0.00031
  3000	     0.55604	     0.00029
  3050	     0.51742	     0.00027
  3100	     0.48177	     0.00026
  3150	     0.44937	     0.00024
  3200	     0.41957	     0.00022
  3250	     0.39122	     0.00021
  3300	     0.36513	     0.00020
  3350	     0.34109	     0.00019
  3400	     0.31818	     0.00017
  3450	     0.29753	     0.00016
  3500	     0.27808	     0.00015
  3550	     0.26015	     0.00014
  3600	     0.24332	     0.00014
  3650	     0.22776	     0.00013
  3700	     0.21309	     0.00012
  3750	     0.19973	     0.00011
  3800	     0.18724	     0.00011
  3850	     0.17544	     0.00010
  3900	     0.16454	     0.00010
  3950	     0.15446	     0.00009
  4000	     0.14486	     0.00008
  4050	     0.13611	     0.00008
  4100	     0.12778	     0.00008
  4150	     0.12009	     0.00007
  4200	     0.11300	     0.00007
  4250	     0.10612	     0.00006
  4300	     0.09997	     0.00006
  4350	     0.09394	     0.00006
  4400	     0.08835	     0.00005
  4450	     0.08320	     0.00005
  4500	     0.07840	     0.00005
  4550	     0.07388	     0.00005
  4600	     0.06965	     0.00004
  4650	     0.06564	     0.00004
  4700	     0.06192	     0.00004
  4750	     0.05840	     0.00004
  4800	     0.05504	     0.00003
  4850	     0.05187	     0.00003
  4900	     0.04892	     0.00003
  4950	     0.04610	     0.00003
# extra	     0.00831
