# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 2.026149 seconds
# 4935.471070 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 25267.68457	    17.48355
    50	  6199.87249	     2.93088
   100	  2792.42948	     1.09347
   150	  1631.61328	     0.55599
   200	  1063.07255	     0.33134
   250	   744.41962	     0.21821
   300	   550.45520	     0.15374
   350	   420.29418	     0.11375
   400	   326.40812	     0.08742
   450	   193.51576	     0.06453
   500	   147.31013	     0.05057
   550	   118.07040	     0.04113
   600	    95.08331	     0.03381
   650	    75.68730	     0.02774
   700	    61.92618	     0.02314
   750	    51.62471	     0.01956
   800	    43.47140	     0.01668
   850	    36.94835	     0.01434
   900	    31.60024	     0.01239
   950	    27.16379	     0.01076
  1000	    23.47658	     0.00940
  1050	    20.42149	     0.00825
  1100	    17.86789	     0.00728
  1150	    15.69849	     0.00645
  1200	    13.83270	     0.00573
  1250	    12.24355	     0.00511
  1300	    10.89381	     0.00458
  1350	     9.72713	     0.00412
  1400	     8.70320	     0.00371
  1450	     7.81323	     0.00335
  1500	     7.02347	     0.00303
  1550	     6.32891	     0.00275
  1600	     5.71368	     0.00250
  1650	     5.17098	     0.00228
  1700	     4.68721	     0.00208
  1750	     4.25517	     0.00190
  1800	     3.86939	     0.00174
  1850	     3.51898	     0.00160
  1900	     3.21357	     0.00147
  1950	     2.93561	     0.00135
  2000	     2.68744	     0.00124
  2050	     2.46417	     0.00114
  2100	     2.25646	     0.00105
  2150	     2.06793	     0.00097
  2200	     1.90298	     0.00090
  2250	     1.75069	     0.00083
  2300	     1.61341	     0.00077
  2350	     1.48636	     0.00072
  2400	     1.37188	     0.00067
  2450	     1.26632	     0.00062
  2500	     1.17022	     0.00058
  2550	     1.08245	     0.00054
  2600	     1.00298	     0.00050
  2650	     0.93028	     0.00047
  2700	     0.86083	     0.00044
  2750	     0.79964	     0.00041
  2800	     0.74179	     0.00038
  2850	     0.68964	     0.00036
  2900	     0.64047	     0.00033
  2950	     0.59704	     0.00031
  3000	     0.55555	     0.00029
  3050	     0.51741	     0.00027
  3100	     0.48128	     0.00025
  3150	     0.44894	     0.00024
  3200	     0.41892	     0.00022
  3250	     0.39148	     0.00021
  3300	     0.36469	     0.00020
  3350	     0.34075	     0.00019
  3400	     0.31886	     0.00017
  3450	     0.29798	     0.00016
  3500	     0.27822	     0.00015
  3550	     0.26004	     0.00014
  3600	     0.24307	     0.00014
  3650	     0.22765	     0.00013
  3700	     0.21321	     0.00012
  3750	     0.19973	     0.00011
  3800	     0.18705	     0.00011
  3850	     0.17531	     0.00010
  3900	     0.16464	     0.00010
  3950	     0.15432	     0.00009
  4000	     0.14494	     0.00008
  4050	     0.13594	     0.00008
  4100	     0.12772	     0.00008
  4150	     0.11993	     0.00007
  4200	     0.11292	     0.00007
  4250	     0.10620	     0.00006
  4300	     0.09979	     0.00006
  4350	     0.09395	     0.00006
  4400	     0.08842	     0.00005
  4450	     0.08324	     0.00005
  4500	     0.07831	     0.00005
  4550	     0.07388	     0.00005
  4600	     0.06950	     0.00004
  4650	     0.06549	     0.00004
  4700	     0.06176	     0.00004
  4750	     0.05822	     0.00004
  4800	     0.05502	     0.00003
  4850	     0.05181	     0.00003
  4900	     0.04894	     0.00003
  4950	     0.04610	     0.00003
# extra	     0.00824
