# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 4.573098 seconds
# 2186.701499 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 25192.91309	    17.45927
    50	  6198.24651	     2.93113
   100	  2789.58676	     1.09354
   150	  1631.17288	     0.55609
   200	  1062.09068	     0.33140
   250	   743.88597	     0.21819
   300	   549.65071	     0.15376
   350	   420.28146	     0.11379
   400	   326.14143	     0.08743
   450	   193.44268	     0.06458
   500	   147.24675	     0.05057
   550	   118.01961	     0.04115
   600	    95.01233	     0.03381
   650	    75.74552	     0.02776
   700	    61.98849	     0.02316
   750	    51.62068	     0.01956
   800	    43.48228	     0.01669
   850	    36.95017	     0.01434
   900	    31.58675	     0.01239
   950	    27.17891	     0.01077
  1000	    23.49949	     0.00940
  1050	    20.42604	     0.00825
  1100	    17.87079	     0.00728
  1150	    15.70014	     0.00645
  1200	    13.84807	     0.00574
  1250	    12.25800	     0.00511
  1300	    10.88586	     0.00458
  1350	     9.72769	     0.00411
  1400	     8.70426	     0.00371
  1450	     7.80965	     0.00335
  1500	     7.02193	     0.00304
  1550	     6.33143	     0.00276
  1600	     5.71896	     0.00251
  1650	     5.16613	     0.00228
  1700	     4.68800	     0.00208
  1750	     4.25464	     0.00190
  1800	     3.86919	     0.00174
  1850	     3.52980	     0.00160
  1900	     3.21387	     0.00147
  1950	     2.93841	     0.00135
  2000	     2.68843	     0.00124
  2050	     2.46208	     0.00114
  2100	     2.25905	     0.00106
  2150	     2.07216	     0.00097
  2200	     1.90623	     0.00090
  2250	     1.75295	     0.00083
  2300	     1.61441	     0.00077
  2350	     1.48739	     0.00072
  2400	     1.37335	     0.00067
  2450	     1.26700	     0.00062
  2500	     1.17194	     0.00058
  2550	     1.08292	     0.00054
  2600	     1.00277	     0.00050
  2650	     0.92838	     0.00047
  2700	     0.86122	     0.00044
  2750	     0.79993	     0.00041
  2800	     0.74230	     0.00038
  2850	     0.69076	     0.00036
  2900	     0.64197	     0.00033
  2950	     0.59768	     0.00031
  3000	     0.55556	     0.00029
  3050	     0.51796	     0.00027
  3100	     0.48242	     0.00026
  3150	     0.44986	     0.00024
  3200	     0.41900	     0.00022
  3250	     0.39107	     0.00021
  3300	     0.36517	     0.00020
  3350	     0.34104	     0.00019
  3400	     0.31857	     0.00017
  3450	     0.29770	     0.00016
  3500	     0.27791	     0.00015
  3550	     0.26016	     0.00014
  3600	     0.24339	     0.00014
  3650	     0.22785	     0.00013
  3700	     0.21357	     0.00012
  3750	     0.19971	     0.00011
  3800	     0.18758	     0.00011
  3850	     0.17580	     0.00010
  3900	     0.16463	     0.00010
  3950	     0.15461	     0.00009
  4000	     0.14518	     0.00008
  4050	     0.13614	     0.00008
  4100	     0.12789	     0.00008
  4150	     0.12027	     0.00007
  4200	     0.11326	     0.00007
  4250	     0.10638	     0.00006
  4300	     0.09995	     0.00006
  4350	     0.09402	     0.00006
  4400	     0.08858	     0.00005
  4450	     0.08334	     0.00005
  4500	     0.07856	     0.00005
  4550	     0.07386	     0.00005
  4600	     0.06966	     0.00004
  4650	     0.06548	     0.00004
  4700	     0.06181	     0.00004
  4750	     0.05836	     0.00004
  4800	     0.05509	     0.00003
  4850	     0.05188	     0.00003
  4900	     0.04890	     0.00003
  4950	     0.04616	     0.00003
# extra	     0.00826
