# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 2.029650 seconds
# 4926.958678 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 25250.07715	    17.47883
    50	  6199.71387	     2.93115
   100	  2789.36719	     1.09325
   150	  1630.52755	     0.55603
   200	  1061.37526	     0.33133
   250	   743.34182	     0.21824
   300	   549.72841	     0.15377
   350	   419.93513	     0.11379
   400	   326.51119	     0.08743
   450	   193.85154	     0.06459
   500	   147.21039	     0.05058
   550	   117.94244	     0.04113
   600	    95.06367	     0.03381
   650	    75.77201	     0.02775
   700	    61.99307	     0.02316
   750	    51.61019	     0.01957
   800	    43.47267	     0.01669
   850	    36.93114	     0.01434
   900	    31.58171	     0.01239
   950	    27.13991	     0.01076
  1000	    23.48784	     0.00940
  1050	    20.44404	     0.00825
  1100	    17.87560	     0.00728
  1150	    15.70682	     0.00645
  1200	    13.84881	     0.00573
  1250	    12.25488	     0.00512
  1300	    10.88784	     0.00458
  1350	     9.70918	     0.00411
  1400	     8.69809	     0.00371
  1450	     7.80420	     0.00335
  1500	     7.01938	     0.00304
  1550	     6.32851	     0.00276
  1600	     5.70822	     0.00250
  1650	     5.16605	     0.00228
  1700	     4.67930	     0.00208
  1750	     4.25523	     0.00191
  1800	     3.86609	     0.00174
  1850	     3.52315	     0.00160
  1900	     3.21736	     0.00147
  1950	     2.93913	     0.00135
  2000	     2.69009	     0.00124
  2050	     2.46385	     0.00114
  2100	     2.25859	     0.00106
  2150	     2.07354	     0.00097
  2200	     1.90557	     0.00090
  2250	     1.75268	     0.00083
  2300	     1.61398	     0.00077
  2350	     1.48778	     0.00072
  2400	     1.37125	     0.00067
  2450	     1.26643	     0.00062
  2500	     1.17237	     0.00058
  2550	     1.08332	     0.00054
  2600	     1.00146	     0.00050
  2650	     0.92831	     0.00047
  2700	     0.86118	     0.00044
  2750	     0.79999	     0.00041
  2800	     0.74226	     0.00038
  2850	     0.68995	     0.00036
  2900	     0.64153	     0.00033
  2950	     0.59742	     0.00031
  3000	     0.55608	     0.00029
  3050	     0.51720	     0.00027
  3100	     0.48206	     0.00026
  3150	     0.44986	     0.00024
  3200	     0.41888	     0.00022
  3250	     0.39100	     0.00021
  3300	     0.36506	     0.00020
  3350	     0.34089	     0.00019
  3400	     0.31828	     0.00017
  3450	     0.29737	     0.00016
  3500	     0.27803	     0.00015
  3550	     0.25970	     0.00014
  3600	     0.24311	     0.00014
  3650	     0.22766	     0.00013
  3700	     0.21308	     0.00012
  3750	     0.19965	     0.00011
  3800	     0.18694	     0.00011
  3850	     0.17531	     0.00010
  3900	     0.16455	     0.00010
  3950	     0.15433	     0.00009
  4000	     0.14493	     0.00008
  4050	     0.13617	     0.00008
  4100	     0.12779	     0.00008
  4150	     0.12012	     0.00007
  4200	     0.11307	     0.00007
  4250	     0.10626	     0.00006
  4300	     0.09992	     0.00006
  4350	     0.09394	     0.00006
  4400	     0.08847	     0.00005
  4450	     0.08322	     0.00005
  4500	     0.07839	     0.00005
  4550	     0.07383	     0.00005
  4600	     0.06955	     0.00004
  4650	     0.06558	     0.00004
  4700	     0.06181	     0.00004
  4750	     0.05836	     0.00004
  4800	     0.05507	     0.00003
  4850	     0.05184	     0.00003
  4900	     0.04886	     0.00003
  4950	     0.04606	     0.00003
# extra	     0.00829
