# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 2.027497 seconds
# 4932.189511 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 25303.43555	    17.49428
    50	  6198.34235	     2.93060
   100	  2791.62181	     1.09364
   150	  1631.23828	     0.55612
   200	  1061.56938	     0.33136
   250	   744.23727	     0.21821
   300	   549.49532	     0.15375
   350	   419.99958	     0.11379
   400	   326.41441	     0.08744
   450	   193.36766	     0.06455
   500	   147.29006	     0.05057
   550	   118.00085	     0.04114
   600	    95.09434	     0.03381
   650	    75.72111	     0.02774
   700	    62.01606	     0.02315
   750	    51.68028	     0.01957
   800	    43.51083	     0.01669
   850	    36.93479	     0.01434
   900	    31.60538	     0.01239
   950	    27.15563	     0.01076
  1000	    23.50459	     0.00940
  1050	    20.43112	     0.00825
  1100	    17.87405	     0.00728
  1150	    15.70819	     0.00645
  1200	    13.84161	     0.00573
  1250	    12.24929	     0.00511
  1300	    10.89524	     0.00458
  1350	     9.70844	     0.00411
  1400	     8.70156	     0.00371
  1450	     7.80545	     0.00335
  1500	     7.01557	     0.00303
  1550	     6.31893	     0.00275
  1600	     5.70636	     0.00250
  1650	     5.16780	     0.00228
  1700	     4.68217	     0.00208
  1750	     4.25585	     0.00191
  1800	     3.86784	     0.00174
  1850	     3.52200	     0.00160
  1900	     3.21385	     0.00147
  1950	     2.93850	     0.00135
  2000	     2.68698	     0.00124
  2050	     2.46313	     0.00114
  2100	     2.25641	     0.00105
  2150	     2.07116	     0.00097
  2200	     1.90651	     0.00090
  2250	     1.75278	     0.00083
  2300	     1.61429	     0.00077
  2350	     1.48689	     0.00072
  2400	     1.37381	     0.00067
  2450	     1.26777	     0.00062
  2500	     1.17022	     0.00058
  2550	     1.08504	     0.00054
  2600	     1.00286	     0.00050
  2650	     0.92921	     0.00047
  2700	     0.86090	     0.00044
  2750	     0.79943	     0.00041
  2800	     0.74195	     0.00038
  2850	     0.68924	     0.00036
  2900	     0.64103	     0.00033
  2950	     0.59704	     0.00031
  3000	     0.55553	     0.00029
  3050	     0.51773	     0.00027
  3100	     0.48238	     0.00026
  3150	     0.44872	     0.00024
  3200	     0.41853	     0.00022
  3250	     0.39051	     0.00021
  3300	     0.36485	     0.00020
  3350	     0.34047	     0.00019
  3400	     0.31837	     0.00017
  3450	     0.29761	     0.00016
  3500	     0.27837	     0.00015
  3550	     0.26042	     0.00014
  3600	     0.24355	     0.00014
  3650	     0.22791	     0.00013
  3700	     0.21322	     0.00012
  3750	     0.19976	     0.00011
  3800	     0.18723	     0.00011
  3850	     0.17527	     0.00010
  3900	     0.16462	     0.00010
  3950	     0.15423	     0.00009
  4000	     0.14480	     0.00008
  4050	     0.13610	     0.00008
  4100	     0.12792	     0.00008
  4150	     0.12013	     0.00007
  4200	     0.11287	     0.00007
  4250	     0.10629	     0.00006
  4300	     0.09999	     0.00006
  4350	     0.09407	     0.00006
  4400	     0.08854	     0.00005
  4450	     0.08333	     0.00005
  4500	     0.07849	     0.00005
  4550	     0.07385	     0.00005
  4600	     0.06960	     0.00004
  4650	     0.06559	     0.00004
  4700	     0.06188	     0.00004
  4750	     0.05833	     0.00004
  4800	     0.05501	     0.00003
  4850	     0.05189	     0.00003
  4900	     0.04885	     0.00003
  4950	     0.04609	     0.00003
# extra	     0.00826
