# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 2.030157 seconds
# 4925.726936 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 25273.02246	    17.48401
    50	  6199.44894	     2.93080
   100	  2785.86544	     1.09331
   150	  1628.69262	     0.55603
   200	  1061.07114	     0.33137
   250	   743.89897	     0.21822
   300	   549.41495	     0.15377
   350	   419.82977	     0.11377
   400	   326.15666	     0.08744
   450	   194.04144	     0.06462
   500	   147.13839	     0.05057
   550	   117.99496	     0.04114
   600	    95.01591	     0.03382
   650	    75.69506	     0.02775
   700	    62.03762	     0.02316
   750	    51.67385	     0.01957
   800	    43.50213	     0.01669
   850	    36.93172	     0.01434
   900	    31.59789	     0.01239
   950	    27.18311	     0.01076
  1000	    23.50998	     0.00940
  1050	    20.43810	     0.00825
  1100	    17.88070	     0.00728
  1150	    15.70158	     0.00645
  1200	    13.85664	     0.00573
  1250	    12.26630	     0.00512
  1300	    10.89247	     0.00458
  1350	     9.70665	     0.00411
  1400	     8.69593	     0.00371
  1450	     7.80582	     0.00335
  1500	     7.02045	     0.00304
  1550	     6.33133	     0.00276
  1600	     5.71687	     0.00251
  1650	     5.17294	     0.00228
  1700	     4.68684	     0.00208
  1750	     4.25599	     0.00191
  1800	     3.86859	     0.00174
  1850	     3.52339	     0.00160
  1900	     3.21304	     0.00147
  1950	     2.93778	     0.00135
  2000	     2.68700	     0.00124
  2050	     2.45959	     0.00114
  2100	     2.25703	     0.00105
  2150	     2.07188	     0.00097
  2200	     1.90639	     0.00090
  2250	     1.75172	     0.00083
  2300	     1.61316	     0.00077
  2350	     1.48654	     0.00072
  2400	     1.37281	     0.00067
  2450	     1.26688	     0.00062
  2500	     1.17091	     0.00058
  2550	     1.08311	     0.00054
  2600	     1.00230	     0.00050
  2650	     0.92940	     0.00047
  2700	     0.86232	     0.00044
  2750	     0.79967	     0.00041
  2800	     0.74224	     0.00038
  2850	     0.68952	     0.00036
  2900	     0.64092	     0.00033
  2950	     0.59626	     0.00031
  3000	     0.55515	     0.00029
  3050	     0.51739	     0.00027
  3100	     0.48196	     0.00026
  3150	     0.44889	     0.00024
  3200	     0.41841	     0.00022
  3250	     0.39070	     0.00021
  3300	     0.36481	     0.00020
  3350	     0.34110	     0.00019
  3400	     0.31816	     0.00017
  3450	     0.29748	     0.00016
  3500	     0.27786	     0.00015
  3550	     0.25972	     0.00014
  3600	     0.24317	     0.00014
  3650	     0.22743	     0.00013
  3700	     0.21306	     0.00012
  3750	     0.19947	     0.00011
  3800	     0.18714	     0.00011
  3850	     0.17527	     0.00010
  3900	     0.16448	     0.00010
  3950	     0.15418	     0.00009
  4000	     0.14483	     0.00008
  4050	     0.13601	     0.00008
  4100	     0.12783	     0.00008
  4150	     0.12009	     0.00007
  4200	     0.11299	     0.00007
  4250	     0.10614	     0.00006
  4300	     0.09996	     0.00006
  4350	     0.09395	     0.00006
  4400	     0.08842	     0.00005
  4450	     0.08329	     0.00005
  4500	     0.07835	     0.00005
  4550	     0.07390	     0.00005
  4600	     0.06953	     0.00004
  4650	     0.06554	     0.00004
  4700	     0.06184	     0.00004
  4750	     0.05837	     0.00004
  4800	     0.05502	     0.00003
  4850	     0.05185	     0.00003
  4900	     0.04890	     0.00003
  4950	     0.04608	     0.00003
# extra	     0.00831
