# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 2.027323 seconds
# 4932.612617 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 25267.86914	    17.48465
    50	  6196.36733	     2.93071
   100	  2788.37695	     1.09339
   150	  1629.82744	     0.55605
   200	  1062.50708	     0.33137
   250	   744.07958	     0.21822
   300	   549.88772	     0.15376
   350	   420.09902	     0.11378
   400	   326.14356	     0.08744
   450	   193.55399	     0.06456
   500	   147.21192	     0.05057
   550	   117.96202	     0.04114
   600	    95.04434	     0.03381
   650	    75.81363	     0.02775
   700	    62.02127	     0.02316
   750	    51.65434	     0.01957
   800	    43.51808	     0.01669
   850	    36.96664	     0.01434
   900	    31.58480	     0.01239
   950	    27.15203	     0.01076
  1000	    23.49879	     0.00940
  1050	    20.43474	     0.00825
  1100	    17.86759	     0.00728
  1150	    15.69373	     0.00645
  1200	    13.82620	     0.00573
  1250	    12.24909	     0.00511
  1300	    10.89076	     0.00458
  1350	     9.71718	     0.00411
  1400	     8.70782	     0.00371
  1450	     7.81661	     0.00335
  1500	     7.02329	     0.00303
  1550	     6.33274	     0.00276
  1600	     5.71622	     0.00251
  1650	     5.16573	     0.00228
  1700	     4.68625	     0.00208
  1750	     4.25360	     0.00190
  1800	     3.86592	     0.00174
  1850	     3.52261	     0.00160
  1900	     3.21535	     0.00147
  1950	     2.93788	     0.00135
  2000	     2.69037	     0.00124
  2050	     2.46411	     0.00114
  2100	     2.25905	     0.00106
  2150	     2.07315	     0.00097
  2200	     1.90572	     0.00090
  2250	     1.75252	     0.00083
  2300	     1.61471	     0.00077
  2350	     1.48884	     0.00072
  2400	     1.37250	     0.00067
  2450	     1.26697	     0.00062
  2500	     1.17126	     0.00058
  2550	     1.08287	     0.00054
  2600	     1.00212	     0.00050
  2650	     0.92900	     0.00047
  2700	     0.86190	     0.00044
  2750	     0.79977	     0.00041
  2800	     0.74306	     0.00038
  2850	     0.68970	     0.00036
  2900	     0.64226	     0.00033
  2950	     0.59680	     0.00031
  3000	     0.55575	     0.00029
  3050	     0.51709	     0.00027
  3100	     0.48236	     0.00026
  3150	     0.44942	     0.00024
  3200	     0.41943	     0.00022
  3250	     0.39088	     0.00021
  3300	     0.36508	     0.00020
  3350	     0.34059	     0.00019
  3400	     0.31823	     0.00017
  3450	     0.29786	     0.00016
  3500	     0.27839	     0.00015
  3550	     0.26008	     0.00014
  3600	     0.24327	     0.00014
  3650	     0.22804	     0.00013
  3700	     0.21351	     0.00012
  3750	     0.20002	     0.00011
  3800	     0.18730	     0.00011
  3850	     0.17550	     0.00010
  3900	     0.16457	     0.00010
  3950	     0.15447	     0.00009
  4000	     0.14510	     0.00008
  4050	     0.13612	     0.00008
  4100	     0.12805	     0.00008
  4150	     0.12031	     0.00007
  4200	     0.11300	     0.00007
  4250	     0.10625	     0.00006
  4300	     0.10003	     0.00006
  4350	     0.09414	     0.00006
  4400	     0.08856	     0.00005
  4450	     0.08329	     0.00005
  4500	     0.07851	     0.00005
  4550	     0.07387	     0.00005
  4600	     0.06957	     0.00004
  4650	     0.06561	     0.00004
  4700	     0.06178	     0.00004
  4750	     0.05823	     0.00004
  4800	     0.05497	     0.00003
  4850	     0.05184	     0.00003
  4900	     0.04889	     0.00003
  4950	     0.04611	     0.00003
# extra	     0.00825
