# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 2.028895 seconds
# 4928.791089 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 25221.21094	    17.47160
    50	  6191.46931	     2.93044
   100	  2786.60989	     1.09336
   150	  1630.08082	     0.55602
   200	  1060.87625	     0.33136
   250	   743.83162	     0.21823
   300	   549.47779	     0.15377
   350	   420.05516	     0.11380
   400	   326.49866	     0.08742
   450	   193.77401	     0.06459
   500	   147.33040	     0.05058
   550	   118.12837	     0.04114
   600	    95.10283	     0.03381
   650	    75.73803	     0.02775
   700	    61.95139	     0.02315
   750	    51.64871	     0.01956
   800	    43.47790	     0.01669
   850	    36.92790	     0.01434
   900	    31.55652	     0.01239
   950	    27.18434	     0.01077
  1000	    23.48173	     0.00940
  1050	    20.41807	     0.00825
  1100	    17.86186	     0.00728
  1150	    15.70482	     0.00645
  1200	    13.84373	     0.00573
  1250	    12.24886	     0.00511
  1300	    10.88987	     0.00458
  1350	     9.72758	     0.00412
  1400	     8.69530	     0.00371
  1450	     7.80769	     0.00335
  1500	     7.01670	     0.00304
  1550	     6.31487	     0.00275
  1600	     5.71082	     0.00251
  1650	     5.16704	     0.00228
  1700	     4.68598	     0.00208
  1750	     4.25336	     0.00191
  1800	     3.86854	     0.00174
  1850	     3.52619	     0.00160
  1900	     3.21643	     0.00147
  1950	     2.93342	     0.00135
  2000	     2.68632	     0.00124
  2050	     2.46105	     0.00114
  2100	     2.25403	     0.00105
  2150	     2.07461	     0.00098
  2200	     1.90618	     0.00090
  2250	     1.75211	     0.00083
  2300	     1.61301	     0.00077
  2350	     1.48677	     0.00072
  2400	     1.37187	     0.00067
  2450	     1.26748	     0.00062
  2500	     1.17066	     0.00058
  2550	     1.08321	     0.00054
  2600	     1.00296	     0.00050
  2650	     0.92948	     0.00047
  2700	     0.86080	     0.00044
  2750	     0.80078	     0.00041
  2800	     0.74335	     0.00038
  2850	     0.69089	     0.00036
  2900	     0.64140	     0.00033
  2950	     0.59659	     0.00031
  3000	     0.55527	     0.00029
  3050	     0.51686	     0.00027
  3100	     0.48147	     0.00026
  3150	     0.44907	     0.00024
  3200	     0.41905	     0.00022
  3250	     0.39080	     0.00021
  3300	     0.36524	     0.00020
  3350	     0.34122	     0.00019
  3400	     0.31870	     0.00017
  3450	     0.29772	     0.00016
  3500	     0.27794	     0.00015
  3550	     0.26013	     0.00014
  3600	     0.24370	     0.00014
  3650	     0.22773	     0.00013
  3700	     0.21357	     0.00012
  3750	     0.19988	     0.00011
  3800	     0.18739	     0.00011
  3850	     0.17553	     0.00010
  3900	     0.16449	     0.00010
  3950	     0.15436	     0.00009
  4000	     0.14484	     0.00008
  4050	     0.13616	     0.00008
  4100	     0.12787	     0.00008
  4150	     0.12016	     0.00007
  4200	     0.11300	     0.00007
  4250	     0.10623	     0.00006
  4300	     0.09999	     0.00006
  4350	     0.09407	     0.00006
  4400	     0.08844	     0.00005
  4450	     0.08331	     0.00005
  4500	     0.07832	     0.00005
  4550	     0.07372	     0.00005
  4600	     0.06956	     0.00004
  4650	     0.06557	     0.00004
  4700	     0.06191	     0.00004
  4750	     0.05840	     0.00004
  4800	     0.05507	     0.00003
  4850	     0.05187	     0.00003
  4900	     0.04893	     0.00003
  4950	     0.04606	     0.00003
# extra	     0.00831
