# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 2.026083 seconds
# 4935.630755 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 25157.23535	    17.44858
    50	  6203.18722	     2.93133
   100	  2787.49650	     1.09339
   150	  1631.04825	     0.55606
   200	  1061.92095	     0.33137
   250	   744.13489	     0.21829
   300	   549.68947	     0.15378
   350	   419.82065	     0.11379
   400	   326.28972	     0.08745
   450	   193.41001	     0.06456
   500	   147.21412	     0.05058
   550	   117.93273	     0.04115
   600	    94.90974	     0.03380
   650	    75.64968	     0.02774
   700	    61.92762	     0.02315
   750	    51.65541	     0.01957
   800	    43.50306	     0.01669
   850	    36.94152	     0.01434
   900	    31.59135	     0.01240
   950	    27.19248	     0.01077
  1000	    23.50492	     0.00940
  1050	    20.42715	     0.00825
  1100	    17.85091	     0.00728
  1150	    15.70922	     0.00645
  1200	    13.84880	     0.00574
  1250	    12.24156	     0.00511
  1300	    10.89219	     0.00458
  1350	     9.72145	     0.00412
  1400	     8.70302	     0.00371
  1450	     7.80229	     0.00335
  1500	     7.02824	     0.00304
  1550	     6.32610	     0.00275
  1600	     5.71786	     0.00251
  1650	     5.17366	     0.00228
  1700	     4.68178	     0.00208
  1750	     4.25131	     0.00190
  1800	     3.86649	     0.00174
  1850	     3.52386	     0.00160
  1900	     3.21340	     0.00147
  1950	     2.93938	     0.00135
  2000	     2.68750	     0.00124
  2050	     2.46438	     0.00114
  2100	     2.25890	     0.00106
  2150	     2.07192	     0.00097
  2200	     1.90440	     0.00090
  2250	     1.74994	     0.00083
  2300	     1.61336	     0.00077
  2350	     1.48708	     0.00072
  2400	     1.37234	     0.00067
  2450	     1.26773	     0.00062
  2500	     1.17198	     0.00058
  2550	     1.08387	     0.00054
  2600	     1.00219	     0.00050
  2650	     0.92953	     0.00047
  2700	     0.86168	     0.00044
  2750	     0.79996	     0.00041
  2800	     0.74223	     0.00038
  2850	     0.68962	     0.00036
  2900	     0.64224	     0.00033
  2950	     0.59687	     0.00031
  3000	     0.55555	     0.00029
  3050	     0.51781	     0.00027
  3100	     0.48203	     0.00026
  3150	     0.44942	     0.00024
  3200	     0.41921	     0.00022
  3250	     0.39078	     0.00021
  3300	     0.36494	     0.00020
  3350	     0.34018	     0.00019
  3400	     0.31857	     0.00017
  3450	     0.29765	     0.00016
  3500	     0.27819	     0.00015
  3550	     0.26043	     0.00015
  3600	     0.24325	     0.00014
  3650	     0.22757	     0.00013
  3700	     0.21327	     0.00012
  3750	     0.19991	     0.00011
  3800	     0.18721	     0.00011
  3850	     0.17518	     0.00010
  3900	     0.16471	     0.00010
  3950	     0.15435	     0.00009
  4000	     0.14516	     0.00008
  4050	     0.13621	     0.00008
  4100	     0.12812	     0.00008
  4150	     0.12016	     0.00007
  4200	     0.11310	     0.00007
  4250	     0.10631	     0.00006
  4300	     0.09996	     0.00006
  4350	     0.09402	     0.00006
  4400	     0.08838	     0.00005
  4450	     0.08333	     0.00005
  4500	     0.07837	     0.00005
  4550	     0.07375	     0.00005
  4600	     0.06961	     0.00004
  4650	     0.06559	     0.00004
  4700	     0.06185	     0.00004
  4750	     0.05836	     0.00004
  4800	     0.05506	     0.00003
  4850	     0.05182	     0.00003
  4900	     0.04889	     0.00003
  4950	     0.04611	     0.00003
# extra	     0.00830
