# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    = 10000000
#
# 2.025927 seconds
# 4936.012598 K photons per second
# Fotones simulados    = 10000000
#
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	 25177.18652	    17.45657
    50	  6196.72307	     2.93117
   100	  2789.39556	     1.09358
   150	  1630.50396	     0.55608
   200	  1061.22637	     0.33141
   250	   744.38208	     0.21821
   300	   550.23850	     0.15377
   350	   419.69718	     0.11381
   400	   326.15339	     0.08743
   450	   193.50705	     0.06455
   500	   147.20755	     0.05058
   550	   118.09402	     0.04114
   600	    95.02872	     0.03381
   650	    75.76472	     0.02775
   700	    62.03706	     0.02316
   750	    51.58788	     0.01957
   800	    43.47052	     0.01668
   850	    36.91149	     0.01433
   900	    31.57554	     0.01239
   950	    27.13927	     0.01076
  1000	    23.48894	     0.00940
  1050	    20.42144	     0.00825
  1100	    17.84687	     0.00728
  1150	    15.70774	     0.00645
  1200	    13.84755	     0.00574
  1250	    12.25076	     0.00511
  1300	    10.89458	     0.00458
  1350	     9.71628	     0.00412
  1400	     8.69929	     0.00371
  1450	     7.81260	     0.00335
  1500	     7.02446	     0.00304
  1550	     6.33295	     0.00276
  1600	     5.71273	     0.00251
  1650	     5.16982	     0.00228
  1700	     4.68565	     0.00208
  1750	     4.25541	     0.00191
  1800	     3.86979	     0.00174
  1850	     3.52077	     0.00160
  1900	     3.21421	     0.00147
  1950	     2.94104	     0.00135
  2000	     2.69077	     0.00124
  2050	     2.46268	     0.00114
  2100	     2.25814	     0.00106
  2150	     2.07171	     0.00097
  2200	     1.90356	     0.00090
  2250	     1.75214	     0.00083
  2300	     1.61407	     0.00077
  2350	     1.48689	     0.00072
  2400	     1.37176	     0.00067
  2450	     1.26724	     0.00062
  2500	     1.17230	     0.00058
  2550	     1.08327	     0.00054
  2600	     1.00165	     0.00050
  2650	     0.92987	     0.00047
  2700	     0.86123	     0.00044
  2750	     0.79938	     0.00041
  2800	     0.74125	     0.00038
  2850	     0.68955	     0.00036
  2900	     0.64092	     0.00033
  2950	     0.59633	     0.00031
  3000	     0.55559	     0.00029
  3050	     0.51789	     0.00027
  3100	     0.48178	     0.00026
  3150	     0.44948	     0.00024
  3200	     0.41897	     0.00022
  3250	     0.39110	     0.00021
  3300	     0.36481	     0.00020
  3350	     0.34052	     0.00019
  3400	     0.31828	     0.00017
  3450	     0.29752	     0.00016
  3500	     0.27799	     0.00015
  3550	     0.26018	     0.00014
  3600	     0.24335	     0.00014
  3650	     0.22775	     0.00013
  3700	     0.21337	     0.00012
  3750	     0.19962	     0.00011
  3800	     0.18720	     0.00011
  3850	     0.17545	     0.00010
  3900	     0.16456	     0.00010
  3950	     0.15438	     0.00009
  4000	     0.14504	     0.00008
  4050	     0.13624	     0.00008
  4100	     0.12785	     0.00008
  4150	     0.12005	     0.00007
  4200	     0.11279	     0.00007
  4250	     0.10619	     0.00006
  4300	     0.09980	     0.00006
  4350	     0.09404	     0.00006
  4400	     0.08843	     0.00005
  4450	     0.08324	     0.00005
  4500	     0.07834	     0.00005
  4550	     0.07377	     0.00005
  4600	     0.06951	     0.00004
  4650	     0.06554	     0.00004
  4700	     0.06187	     0.00004
  4750	     0.05832	     0.00004
  4800	     0.05502	     0.00003
  4850	     0.05177	     0.00003
  4900	     0.04887	     0.00003
  4950	     0.04610	     0.00003
# extra	     0.00830
